SCHEME_CODE,SCHEME_NAME,SCHEME_TYPE,COMPANY_ID,LAUNCH_DATE
119289,Franklin India Corporate Debt Fund - Direct - Bonus,INF090I01KC0,1056,
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,INF090I01FW8,1056,
100528,Franklin India Corporate Debt Fund - Growth,INF090I01DG6,1056,
100532,Franklin India Corporate Debt Fund - Monthly Bonus,INF090I01DC5,1056,
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,INF090I01DH4,1056,
118570,Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,INF090I01FX6,1056,
118573,Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,INF090I01FU2,1056,
118571,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,INF090I01FQ0,1056,
118572,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,INF090I01FS6,1056,
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,INF090I01DN2,1056,
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,INF090I01DJ0,1056,
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,INF090I01DL6,1056,
113070,HDFC Corporate Bond Fund - Growth Option,INF179K01DC2,1057,
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,INF179K01XD8,1057,
132848,HDFC Corporate Bond Fund - IDCW Option,INF179KA1D33,1057,
132849,HDFC Corporate Bond Fund - IDCW Option - Direct Plan,INF179KA1D17,1057,
113071,HDFC Corporate Bond Fund - Quarterly IDCW Option,INF179K01DD0,1057,
